Type, Id paq, time stamp segundos, micro, long paq 
S, 0, 1615893522, 797289, 11
D, 0, 1615893522, 923543, 11 
R, 0, 1615893522 , 936750, 4 
S, 1, 1615893523, 748077, 11
D, 1, 1615893523, 873489, 11 
R, 1, 1615893523 , 888105, 4 
S, 2, 1615893524, 699097, 11
D, 2, 1615893524, 823512, 11 
R, 2, 1615893524 , 838253, 4 
S, 3, 1615893525, 649756, 11
D, 3, 1615893525, 774176, 11 
R, 3, 1615893525 , 790230, 4 
S, 4, 1615893526, 600422, 11
D, 4, 1615893526, 724118, 11 
R, 4, 1615893526 , 740176, 4 
S, 5, 1615893527, 551085, 11
D, 5, 1615893527, 674135, 11 
R, 5, 1615893527 , 689109, 4 
S, 6, 1615893528, 501830, 11
D, 6, 1615893528, 624140, 11 
R, 6, 1615893528 , 639979, 4 
S, 7, 1615893529, 452498, 11
D, 7, 1615893529, 574076, 11 
R, 7, 1615893529 , 588970, 4 
S, 8, 1615893530, 403617, 11
D, 8, 1615893530, 534098, 11 
R, 8, 1615893530 , 549686, 4 
S, 9, 1615893531, 354444, 11
D, 9, 1615893531, 474102, 11 
R, 9, 1615893531 , 489283, 4 
S, 10, 1615893532, 305367, 11
D, 10, 1615893532, 434180, 11 
R, 10, 1615893532 , 449609, 4 
S, 11, 1615893533, 256329, 11
D, 11, 1615893533, 384075, 11 
R, 11, 1615893533 , 399207, 4 
S, 12, 1615893534, 207192, 11
D, 12, 1615893534, 333484, 11 
R, 12, 1615893534 , 349110, 4 
S, 13, 1615893535, 157881, 11
D, 13, 1615893535, 283466, 11 
R, 13, 1615893535 , 298755, 4 
S, 14, 1615893536, 108567, 11
D, 14, 1615893536, 233482, 11 
R, 14, 1615893536 , 249529, 4 
S, 15, 1615893537, 59300, 11
D, 15, 1615893537, 184175, 11 
R, 15, 1615893537 , 200673, 4 
S, 16, 1615893538, 9993, 11
D, 16, 1615893538, 144019, 11 
R, 16, 1615893538 , 159391, 4 
S, 17, 1615893538, 960686, 11
D, 17, 1615893539, 83964, 11 
R, 17, 1615893539 , 100052, 4 
S, 18, 1615893539, 911350, 11
D, 18, 1615893540, 33932, 11 
R, 18, 1615893540 , 50104, 4 
S, 19, 1615893540, 862014, 11
D, 19, 1615893540, 984171, 11 
R, 19, 1615893541 , 430, 4 
